state,year,crop,yield_bu_acre
MARYLAND,2014,WHEAT,70.925
MARYLAND,2015,CORN,159.88
MARYLAND,2015,SOYBEANS,39.235
MARYLAND,2015,WHEAT,66.79230769230769
MARYLAND,2016,CORN,144.8941176470588
MARYLAND,2016,SOYBEANS,41.23157894736842
MARYLAND,2016,WHEAT,63.54545454545455
MARYLAND,2017,CORN,165.03157894736842
MARYLAND,2017,SOYBEANS,49.888888888888886
MARYLAND,2017,WHEAT,70.74615384615385
MARYLAND,2018,CORN,136.37272727272727
MARYLAND,2018,SOYBEANS,45.016666666666666
MARYLAND,2018,WHEAT,62.574999999999996
MARYLAND,2019,CORN,157.88
MARYLAND,2019,SOYBEANS,43.37777777777777
MARYLAND,2019,WHEAT,76.33333333333333
MARYLAND,2020,CORN,151.78181818181818
MARYLAND,2020,SOYBEANS,46.28095238095238
MARYLAND,2020,WHEAT,71.96111111111111
MARYLAND,2021,CORN,170.45263157894738
MARYLAND,2021,SOYBEANS,51.96842105263158
MARYLAND,2021,WHEAT,76.80000000000001
MARYLAND,2022,CORN,153.66
MARYLAND,2022,SOYBEANS,42.894444444444446
MARYLAND,2022,WHEAT,78.31538461538462
MARYLAND,2023,CORN,159.3
MARYLAND,2023,SOYBEANS,44.15
MARYLAND,2023,WHEAT,85.51764705882353
MARYLAND,2024,CORN,132.81764705882352
MARYLAND,2024,SOYBEANS,43.199999999999996
MARYLAND,2025,WHEAT,76.63571428571429
MICHIGAN,2010,CORN,141.07121212121214
MICHIGAN,2010,SOYBEANS,43.62884615384615
MICHIGAN,2010,WHEAT,61.657407407407405
MICHIGAN,2011,CORN,134.51884057971014
MICHIGAN,2011,SOYBEANS,42.936734693877554
MICHIGAN,2011,WHEAT,67.93214285714285
MICHIGAN,2012,CORN,122.30923076923078
MICHIGAN,2012,SOYBEANS,41.8
MICHIGAN,2012,WHEAT,67.73214285714286
MICHIGAN,2013,CORN,142.2277777777778
MICHIGAN,2013,SOYBEANS,43.1
MICHIGAN,2013,WHEAT,67.35217391304347
MICHIGAN,2014,CORN,145.2296875
MICHIGAN,2014,SOYBEANS,39.47222222222222
MICHIGAN,2014,WHEAT,66.94468085106384
MICHIGAN,2015,CORN,145.54603174603173
MICHIGAN,2015,SOYBEANS,47.597674418604655
MICHIGAN,2015,WHEAT,75.12558139534885
MICHIGAN,2016,CORN,138.74153846153848
MICHIGAN,2016,SOYBEANS,49.09347826086957
MICHIGAN,2016,WHEAT,79.654
MICHIGAN,2017,CORN,149.035
MICHIGAN,2017,SOYBEANS,41.19387755102041
MICHIGAN,2017,WHEAT,71.07954545454545
MICHIGAN,2018,CORN,142.8764705882353
MICHIGAN,2018,SOYBEANS,45.86222222222223
MICHIGAN,2018,WHEAT,71.4590909090909
MICHIGAN,2019,CORN,138.64285714285714
MICHIGAN,2019,SOYBEANS,39.265957446808514
MICHIGAN,2019,WHEAT,64.33333333333333
MICHIGAN,2020,CORN,143.60655737704917
MICHIGAN,2020,SOYBEANS,46.086000000000006
MICHIGAN,2020,WHEAT,64.83958333333334
MICHIGAN,2021,CORN,164.94310344827588
MICHIGAN,2021,SOYBEANS,49.512499999999996
MICHIGAN,2021,WHEAT,74.61555555555555
MICHIGAN,2022,CORN,149.79180327868852
MICHIGAN,2022,SOYBEANS,44.523529411764706
MICHIGAN,2022,WHEAT,76.21363636363637
MICHIGAN,2023,CORN,158.1603448275862
MICHIGAN,2023,SOYBEANS,44.0
MICHIGAN,2023,WHEAT,71.93488372093023
MICHIGAN,2024,CORN,164.75
MICHIGAN,2024,SOYBEANS,47.30434782608695
MICHIGAN,2025,WHEAT,81.82307692307693
MINNESOTA,2010,CORN,111.30661157024794
MINNESOTA,2010,SOYBEANS,44.89078947368421
MINNESOTA,2010,WHEAT,50.01166666666666
MINNESOTA,2011,CORN,100.59736842105264
MINNESOTA,2011,SOYBEANS,38.733333333333334
MINNESOTA,2011,WHEAT,39.4962962962963
MINNESOTA,2012,CORN,115.45092592592593
MINNESOTA,2012,SOYBEANS,43.12133333333333
MINNESOTA,2012,WHEAT,49.19333333333333
MINNESOTA,2013,CORN,107.89292035398229
MINNESOTA,2013,SOYBEANS,39.82027027027027
MINNESOTA,2013,WHEAT,48.53488372093023
MINNESOTA,2014,CORN,105.53904761904762
MINNESOTA,2014,SOYBEANS,40.5986301369863
MINNESOTA,2014,WHEAT,51.7047619047619
MINNESOTA,2015,CORN,139.64646464646464
MINNESOTA,2015,SOYBEANS,50.37887323943662
MINNESOTA,2015,WHEAT,58.93421052631579
MINNESOTA,2016,CORN,152.1618556701031
MINNESOTA,2016,SOYBEANS,52.795890410958904
MINNESOTA,2016,WHEAT,57.6425
MINNESOTA,2017,CORN,139.269
MINNESOTA,2017,SOYBEANS,47.270270270270274
MINNESOTA,2017,WHEAT,60.87567567567568
MINNESOTA,2018,CORN,129.45934065934065
MINNESOTA,2018,SOYBEANS,48.7171875
MINNESOTA,2018,WHEAT,46.797222222222224
